question_id,dataset,latency_total,latency_decomposer,latency_retriever,latency_reasoner,latency_critic
2hop__44815_494136,musique,10.417280699999537,1.2834732000001168,3.1970392999992328,2.806633000000147,3.1267430999996577
2hop__640262_122868,musique,4.327960300000086,1.1427247999999963,0.5874835999993593,1.1983793999997943,1.3974076999993486
2hop__370564_71701,musique,15.777293199999804,1.4932567000005292,4.700950499999635,6.125584399999752,3.4544261000000915
2hop__6827_79845,musique,13.376151200000095,1.1754513999994742,1.1321727000004103,7.791693999999552,3.2739166999999725
3hop2__90098_156850_10557,musique,10.342060799999672,1.7362100000000282,3.641415600000073,2.018399199999294,2.943024200000764
2hop__488811_30110,musique,9.730362799999966,1.7030566000003091,2.4725612000002,2.289136800000051,3.2621729000002233
2hop__17827_54024,musique,9.160783499999525,1.2016548000001421,4.60636599999998,1.9636688000000504,1.38716149999982
2hop__752214_639679,musique,9.563818699999501,1.2401234000008117,1.7211086999996041,3.921162099999492,2.678193900000224
2hop__810884_22402,musique,11.876516899999842,1.918453899999804,3.804556500000217,3.5246007000005193,2.625920800000131
4hop1__341777_508773_85832_745702,musique,18.11695039999995,1.6098298000006253,9.864231300000938,2.803320099999837,3.8365297000000282
3hop2__132957_222979_40768,musique,11.768527100000028,1.7765106999995623,3.8440072000003056,3.4082968999991863,2.7367903000003935
2hop__62311_62279,musique,12.927994199999375,1.6709757999997237,4.25275690000035,2.851562799999556,4.149796900000183
3hop1__365934_87694_124169,musique,13.928773000000547,1.8840715999995155,1.1305493000008937,8.37719449999986,2.5339797999995426
2hop__409166_152023,musique,4.237884899999699,1.3060499000002892,0.3455504000003202,1.0085607000000891,1.5759187000003294
3hop1__857_846_7821,musique,8.679827299999488,1.2489402999999584,1.2866629999998622,2.8863704999994297,3.25479869999981
3hop1__19768_19788_10117,musique,13.1534328000007,1.8988036999999167,4.772744599999896,3.0359069000005547,3.4427777999999307
2hop__703767_37168,musique,18.194111499999963,2.0753003999998327,5.333297200000743,7.769570599999497,3.012888799999928
2hop__56851_343058,musique,20.28835429999981,1.6446630999998888,12.718565899999703,2.7622333999997863,3.1598175999997693
