question_id,dataset,latency_total,latency_decomposer,latency_retriever,latency_reasoner,latency_critic
2hop__44815_494136,musique,2.451169400002982,0.0,0.0,0.0,0.0
2hop__640262_122868,musique,1.0322110999986762,0.0,0.0,0.0,0.0
2hop__370564_71701,musique,1.0793640999982017,0.0,0.0,0.0,0.0
2hop__6827_79845,musique,1.0346776000005775,0.0,0.0,0.0,0.0
3hop2__90098_156850_10557,musique,2.4503679999979795,0.0,0.0,0.0,0.0
2hop__488811_30110,musique,1.7911127999977907,0.0,0.0,0.0,0.0
2hop__17827_54024,musique,1.673760099998617,0.0,0.0,0.0,0.0
2hop__752214_639679,musique,1.884215199999744,0.0,0.0,0.0,0.0
2hop__810884_22402,musique,2.5892144000026747,0.0,0.0,0.0,0.0
4hop1__341777_508773_85832_745702,musique,6.092627199999697,0.0,0.0,0.0,0.0
3hop2__132957_222979_40768,musique,2.420340500000748,0.0,0.0,0.0,0.0
2hop__62311_62279,musique,2.7985611999974935,0.0,0.0,0.0,0.0
3hop1__365934_87694_124169,musique,0.9620342000052915,0.0,0.0,0.0,0.0
2hop__409166_152023,musique,0.697359999998298,0.0,0.0,0.0,0.0
3hop1__857_846_7821,musique,1.0829862999962643,0.0,0.0,0.0,0.0
3hop1__19768_19788_10117,musique,2.9825630000050296,0.0,0.0,0.0,0.0
2hop__703767_37168,musique,3.3705245000019204,0.0,0.0,0.0,0.0
2hop__56851_343058,musique,7.632457099993189,0.0,0.0,0.0,0.0
3hop2__30152_105395_20999,musique,1.3142584000015631,0.0,0.0,0.0,0.0
2hop__42747_83837,musique,1.7183251999958884,0.0,0.0,0.0,0.0
2hop__511176_22458,musique,0.87697499999922,0.0,0.0,0.0,0.0
2hop__83800_747874,musique,1.2241039000000455,0.0,0.0,0.0,0.0
2hop__83257_19033,musique,2.9799090000014985,0.0,0.0,0.0,0.0
2hop__55966_162341,musique,1.1713824000034947,0.0,0.0,0.0,0.0
2hop__754753_57816,musique,1.0636186999981874,0.0,0.0,0.0,0.0
3hop1__127837_157828_239539,musique,2.7585618999946746,0.0,0.0,0.0,0.0
3hop1__102461_24918_24991,musique,4.282927899999777,0.0,0.0,0.0,0.0
2hop__612719_6455,musique,2.1468378999998095,0.0,0.0,0.0,0.0
2hop__30905_189318,musique,3.461291399995389,0.0,0.0,0.0,0.0
2hop__776377_857193,musique,2.4101244999983464,0.0,0.0,0.0,0.0
2hop__411091_625230,musique,1.0971531000031973,0.0,0.0,0.0,0.0
4hop2__160585_14670_8987_8529,musique,1.2055908999973326,0.0,0.0,0.0,0.0
3hop1__28404_160713_77246,musique,7.737496599998849,0.0,0.0,0.0,0.0
2hop__8496_21567,musique,3.2844083000018145,0.0,0.0,0.0,0.0
2hop__70338_36240,musique,1.3295088000013493,0.0,0.0,0.0,0.0
2hop__275891_55984,musique,1.6018853999994462,0.0,0.0,0.0,0.0
3hop1__136129_87694_124169,musique,1.0761064000034821,0.0,0.0,0.0,0.0
4hop3__373866_5189_38229_86687,musique,3.3688443999999436,0.0,0.0,0.0,0.0
2hop__455158_247871,musique,1.1040603000001283,0.0,0.0,0.0,0.0
3hop1__131783_131926_13165,musique,1.0904235999987577,0.0,0.0,0.0,0.0
2hop__123214_22402,musique,1.1872118000028422,0.0,0.0,0.0,0.0
3hop1__358853_339990_15538,musique,1.528071100001398,0.0,0.0,0.0,0.0
2hop__552546_70131,musique,1.2992264999993495,0.0,0.0,0.0,0.0
2hop__67956_463572,musique,1.113837999997486,0.0,0.0,0.0,0.0
2hop__418360_67370,musique,1.3169684000022244,0.0,0.0,0.0,0.0
2hop__73921_807969,musique,0.9410442000007606,0.0,0.0,0.0,0.0
3hop1__139787_88110_77129,musique,2.6251364999989164,0.0,0.0,0.0,0.0
2hop__141456_6455,musique,1.8611697999949683,0.0,0.0,0.0,0.0
3hop2__326964_7855_7713,musique,1.9719393999985186,0.0,0.0,0.0,0.0
4hop1__436202_765799_282674_759393,musique,0.9664539999939734,0.0,0.0,0.0,0.0
3hop1__389069_132457_47686,musique,0.9818795000028331,0.0,0.0,0.0,0.0
2hop__90773_715759,musique,1.0805729999992764,0.0,0.0,0.0,0.0
2hop__135652_669373,musique,2.2110213999985717,0.0,0.0,0.0,0.0
2hop__6736_6733,musique,0.7081619999953546,0.0,0.0,0.0,0.0
4hop1__58323_375563_161848_83118,musique,1.1355366999996477,0.0,0.0,0.0,0.0
4hop3__524186_219173_862998_72134,musique,1.6008078999948339,0.0,0.0,0.0,0.0
3hop1__354480_834494_34109,musique,1.0252968999993755,0.0,0.0,0.0,0.0
2hop__354635_174222,musique,3.241308900003787,0.0,0.0,0.0,0.0
4hop3__678814_466199_695123_72134,musique,2.043484499998158,0.0,0.0,0.0,0.0
2hop__83405_158262,musique,5.6127312000025995,0.0,0.0,0.0,0.0
2hop__60001_512508,musique,1.1925352999969618,0.0,0.0,0.0,0.0
2hop__403712_793210,musique,2.96866069999669,0.0,0.0,0.0,0.0
3hop1__409517_547811_80702,musique,0.9661140000025625,0.0,0.0,0.0,0.0
4hop1__433767_32392_823060_610794,musique,1.4728208999949857,0.0,0.0,0.0,0.0
4hop2__567956_39078_8987_8974,musique,1.1736583999954746,0.0,0.0,0.0,0.0
2hop__689472_52835,musique,2.5847219999996014,0.0,0.0,0.0,0.0
2hop__820739_250752,musique,0.8591492999985348,0.0,0.0,0.0,0.0
2hop__21104_16254,musique,7.851163899998937,0.0,0.0,0.0,0.0
4hop1__726391_153080_33952_34053,musique,1.1299599999983911,0.0,0.0,0.0,0.0
2hop__374767_152023,musique,1.6807496000037645,0.0,0.0,0.0,0.0
4hop3__426860_88460_30152_20999,musique,1.2322686999978032,0.0,0.0,0.0,0.0
3hop1__79462_91850_685675,musique,1.0916012000016053,0.0,0.0,0.0,0.0
2hop__289517_139339,musique,1.2112716999981785,0.0,0.0,0.0,0.0
4hop1__129721_32392_823060_610794,musique,1.4128080000009504,0.0,0.0,0.0,0.0
2hop__142842_68489,musique,0.8760982999956468,0.0,0.0,0.0,0.0
2hop__80546_75184,musique,3.381125799998699,0.0,0.0,0.0,0.0
2hop__323534_810083,musique,1.0385886000003666,0.0,0.0,0.0,0.0
2hop__829474_123956,musique,9.023370700000669,0.0,0.0,0.0,0.0
4hop1__94201_642284_131926_90707,musique,0.9464760999981081,0.0,0.0,0.0,0.0
4hop1__629520_49925_13759_736921,musique,3.5079951000006986,0.0,0.0,0.0,0.0
3hop1__540585_568433_47686,musique,3.6137852000028943,0.0,0.0,0.0,0.0
2hop__56307_604644,musique,1.0932354000033229,0.0,0.0,0.0,0.0
2hop__507528_139339,musique,1.4103469000037876,0.0,0.0,0.0,0.0
2hop__44259_747874,musique,1.170621299999766,0.0,0.0,0.0,0.0
2hop__428940_135373,musique,1.6999907999997959,0.0,0.0,0.0,0.0
3hop1__147225_30587_83479,musique,2.5359775999968406,0.0,0.0,0.0,0.0
2hop__642686_7292,musique,2.0351940999971703,0.0,0.0,0.0,0.0
3hop1__107540_720914_27537,musique,1.1008134000003338,0.0,0.0,0.0,0.0
3hop1__161433_33952_33939,musique,1.1926682999983313,0.0,0.0,0.0,0.0
2hop__71871_494136,musique,2.2197727000020677,0.0,0.0,0.0,0.0
4hop1__310029_153080_33897_81096,musique,1.9701754999987315,0.0,0.0,0.0,0.0
2hop__620853_22458,musique,1.320079099998111,0.0,0.0,0.0,0.0
2hop__865828_377862,musique,0.9761456999985967,0.0,0.0,0.0,0.0
4hop3__630723_88460_30152_20999,musique,1.1730316999964998,0.0,0.0,0.0,0.0
4hop3__719125_132409_371500_35031,musique,1.2055374999981723,0.0,0.0,0.0,0.0
4hop1__105688_17130_70784_79935,musique,7.205126899993047,0.0,0.0,0.0,0.0
3hop1__376309_160713_77246,musique,12.975478500004101,0.0,0.0,0.0,0.0
4hop1__525129_315334_131926_87157,musique,1.0821697999999742,0.0,0.0,0.0,0.0
3hop1__140554_2053_52946,musique,3.199915500001225,0.0,0.0,0.0,0.0
3hop1__347858_503371_21711,musique,6.893523999999161,0.0,0.0,0.0,0.0
2hop__709357_136043,musique,1.11177950000274,0.0,0.0,0.0,0.0
3hop1__516535_834494_34109,musique,2.682788199999777,0.0,0.0,0.0,0.0
3hop1__639955_834494_34109,musique,1.0760109999973793,0.0,0.0,0.0,0.0
3hop1__786067_228453_86925,musique,1.6191419000024325,0.0,0.0,0.0,0.0
3hop1__506062_792411_51423,musique,0.9805640999984462,0.0,0.0,0.0,0.0
4hop1__60000_59747_211319_557671,musique,1.147909499995876,0.0,0.0,0.0,0.0
3hop1__17192_78396_54865,musique,2.3018282000048202,0.0,0.0,0.0,0.0
