question_id,dataset,latency_total,latency_decomposer,latency_retriever,latency_reasoner,latency_critic
2hop__44815_494136,musique,2.1987656000001152,0.0,0.0,0.0,0.0
2hop__640262_122868,musique,1.0511298000001261,0.0,0.0,0.0,0.0
2hop__370564_71701,musique,1.0771606999996948,0.0,0.0,0.0,0.0
2hop__6827_79845,musique,0.9958937000001242,0.0,0.0,0.0,0.0
3hop2__90098_156850_10557,musique,2.3700128999998924,0.0,0.0,0.0,0.0
2hop__488811_30110,musique,1.7610389999999825,0.0,0.0,0.0,0.0
2hop__17827_54024,musique,1.5275172000001476,0.0,0.0,0.0,0.0
2hop__752214_639679,musique,1.7631196000002092,0.0,0.0,0.0,0.0
2hop__810884_22402,musique,2.449819700000262,0.0,0.0,0.0,0.0
4hop1__341777_508773_85832_745702,musique,5.472270899999785,0.0,0.0,0.0,0.0
3hop2__132957_222979_40768,musique,2.3845793000000413,0.0,0.0,0.0,0.0
2hop__62311_62279,musique,2.7889820000000327,0.0,0.0,0.0,0.0
3hop1__365934_87694_124169,musique,1.0781670999995185,0.0,0.0,0.0,0.0
2hop__409166_152023,musique,0.7711066000001665,0.0,0.0,0.0,0.0
3hop1__857_846_7821,musique,1.1562607999994725,0.0,0.0,0.0,0.0
3hop1__19768_19788_10117,musique,2.8900281000005634,0.0,0.0,0.0,0.0
2hop__703767_37168,musique,3.2158667000003334,0.0,0.0,0.0,0.0
2hop__56851_343058,musique,6.7401497000000745,0.0,0.0,0.0,0.0
3hop2__30152_105395_20999,musique,1.2813654999999926,0.0,0.0,0.0,0.0
2hop__42747_83837,musique,1.6713878000000477,0.0,0.0,0.0,0.0
2hop__511176_22458,musique,1.0487616999998863,0.0,0.0,0.0,0.0
2hop__83800_747874,musique,1.2653866999999082,0.0,0.0,0.0,0.0
2hop__83257_19033,musique,2.933708300000035,0.0,0.0,0.0,0.0
2hop__55966_162341,musique,1.121518500000093,0.0,0.0,0.0,0.0
2hop__754753_57816,musique,1.0191290000002482,0.0,0.0,0.0,0.0
3hop1__127837_157828_239539,musique,2.5452171000006274,0.0,0.0,0.0,0.0
3hop1__102461_24918_24991,musique,3.883513700000549,0.0,0.0,0.0,0.0
2hop__612719_6455,musique,1.968915499999639,0.0,0.0,0.0,0.0
2hop__30905_189318,musique,3.1542262000002665,0.0,0.0,0.0,0.0
2hop__776377_857193,musique,2.1661966000001485,0.0,0.0,0.0,0.0
2hop__411091_625230,musique,1.1817887999995946,0.0,0.0,0.0,0.0
4hop2__160585_14670_8987_8529,musique,1.3021926999999778,0.0,0.0,0.0,0.0
3hop1__28404_160713_77246,musique,6.796977400000287,0.0,0.0,0.0,0.0
2hop__8496_21567,musique,3.1669802000005802,0.0,0.0,0.0,0.0
2hop__70338_36240,musique,1.3385990999995556,0.0,0.0,0.0,0.0
